"Multiplicador","Resultado","Data","Hora"
"1.12","ruim","06-04-22","12:39"
"1.52","ruim","06-04-22","12:38"
"10.56","bom","06-04-22","12:38"
"27.11","bom","06-04-22","12:37"
"4.67","bom","06-04-22","12:36"
"2.24","bom","06-04-22","12:36"
"1.35","ruim","06-04-22","12:35"
"26.32","bom","06-04-22","12:35"
"1.11","ruim","06-04-22","12:34"
"1.07","ruim","06-04-22","12:34"
"2.39","bom","06-04-22","12:33"
"11.32","bom","06-04-22","12:33"
"12.92","bom","06-04-22","12:32"
"1.25","ruim","06-04-22","12:31"
"1.08","ruim","06-04-22","12:31"
"0.00","ruim","06-04-22","12:31"
"1.23","ruim","06-04-22","12:31"
"12.99","bom","06-04-22","12:30"
"7.50","bom","06-04-22","12:30"
"2.85","bom","06-04-22","12:29"
"1.11","ruim","06-04-22","12:28"
"0.00","ruim","06-04-22","12:28"
"1.49","ruim","06-04-22","12:28"
"3.47","bom","06-04-22","12:28"
"2.00","bom","06-04-22","12:27"
"1.90","ruim","06-04-22","12:27"
"5.92","bom","06-04-22","12:26"
"2.86","bom","06-04-22","12:26"
"4.48","bom","06-04-22","12:25"
"2.06","bom","06-04-22","12:25"
"0.00","ruim","06-04-22","12:24"
"1.43","ruim","06-04-22","12:24"
"0.00","ruim","06-04-22","12:24"
"1.00","ruim","06-04-22","12:24"
"2.38","bom","06-04-22","12:24"
"3.00","bom","06-04-22","12:23"
"1.31","ruim","06-04-22","12:23"
"3.63","bom","06-04-22","12:22"
"10.91","bom","06-04-22","12:22"
"0.00","ruim","06-04-22","12:21"
"2.24","bom","06-04-22","12:21"
"2.23","bom","06-04-22","12:21"
"2.08","bom","06-04-22","12:20"
"1.33","ruim","06-04-22","12:20"
"4.32","bom","06-04-22","12:20"
"0.00","ruim","06-04-22","12:19"
"1.87","ruim","06-04-22","12:19"
"1.48","ruim","06-04-22","12:18"
"2.57","bom","06-04-22","12:18"
"8.95","bom","06-04-22","12:18"
"1.10","ruim","06-04-22","12:17"
"1.83","ruim","06-04-22","12:17"
"1.64","ruim","06-04-22","12:16"
"1.11","ruim","06-04-22","12:16"
"1.45","ruim","06-04-22","12:16"
"1.25","ruim","06-04-22","12:16"
"0.00","ruim","06-04-22","12:15"
"1.28","ruim","06-04-22","12:15"
"2.14","bom","06-04-22","12:15"
"1.71","ruim","06-04-22","12:15"
"1.10","ruim","06-04-22","12:14"
"1.26","ruim","06-04-22","12:14"
"18.20","bom","06-04-22","12:14"
"1.24","ruim","06-04-22","12:13"
"0.00","ruim","06-04-22","12:13"
"17.02","bom","06-04-22","12:13"
"2.54","bom","06-04-22","12:12"
"3.27","bom","06-04-22","12:11"
"1.01","ruim","06-04-22","12:11"
"0.00","ruim","06-04-22","12:10"
"1.14","ruim","06-04-22","12:10"
"4.27","bom","06-04-22","12:10"
"1.92","ruim","06-04-22","12:10"
"1.87","ruim","06-04-22","12:09"
"7.51","bom","06-04-22","12:09"
"1.57","ruim","06-04-22","12:08"
"27.04","bom","06-04-22","12:08"
"11.54","bom","06-04-22","12:07"
"9.64","bom","06-04-22","12:06"
"1.81","ruim","06-04-22","12:05"
"2.78","bom","06-04-22","12:05"
"2.16","bom","06-04-22","12:04"
"5.15","bom","06-04-22","12:04"
"0.00","ruim","06-04-22","12:03"
"1.01","ruim","06-04-22","12:03"
"1.09","ruim","06-04-22","12:03"
"10.20","bom","06-04-22","12:03"
"4.84","bom","06-04-22","12:02"
"11.23","bom","06-04-22","12:01"
"0.00","ruim","06-04-22","12:00"
"1.02","ruim","06-04-22","12:00"
"1.82","ruim","06-04-22","12:00"
"1.11","ruim","06-04-22","12:00"
"1.59","ruim","06-04-22","12:00"
"2.13","bom","06-04-22","11:59"
"1.59","ruim","06-04-22","11:59"
"2.85","bom","06-04-22","11:59"
"1.74","ruim","06-04-22","11:58"
"1.66","ruim","06-04-22","11:58"
"1.04","ruim","06-04-22","11:57"
"1.62","ruim","06-04-22","11:57"
"3.41","bom","06-04-22","11:57"
"3.02","bom","06-04-22","11:56"
"1.02","ruim","06-04-22","11:56"
"2.80","bom","06-04-22","11:56"
"1.05","ruim","06-04-22","11:55"
"1.75","ruim","06-04-22","11:55"
"2.36","bom","06-04-22","11:55"
"1.15","ruim","06-04-22","11:54"
"12.21","bom","06-04-22","11:54"
"1.26","ruim","06-04-22","11:53"
"3.72","bom","06-04-22","11:53"
"3.05","bom","06-04-22","11:53"
"1.08","ruim","06-04-22","11:52"
"39.69","bom","06-04-22","11:52"
"1.25","ruim","06-04-22","11:51"
"3.86","bom","06-04-22","11:50"
"4.41","bom","06-04-22","11:50"
"2.71","bom","06-04-22","11:49"
"2.57","bom","06-04-22","11:49"
"3.32","bom","06-04-22","11:48"
"0.00","ruim","06-04-22","11:48"
"14.70","bom","06-04-22","11:48"
"6.61","bom","06-04-22","11:47"
"190.01","bom","06-04-22","11:46"
"4.85","bom","06-04-22","11:45"
"1.49","ruim","06-04-22","11:44"
"1.04","ruim","06-04-22","11:44"
"1.16","ruim","06-04-22","11:43"
"1.30","ruim","06-04-22","11:43"
"2.54","bom","06-04-22","11:43"
"1.71","ruim","06-04-22","11:43"
"1.24","ruim","06-04-22","11:42"
"3.76","bom","06-04-22","11:42"
"0.00","ruim","06-04-22","11:42"
"0.00","ruim","06-04-22","11:41"
"20.03","bom","06-04-22","11:41"
"1.44","ruim","06-04-22","11:40"
"1.01","ruim","06-04-22","11:40"
"1.91","ruim","06-04-22","11:40"
"1.54","ruim","06-04-22","11:39"
"3.26","bom","06-04-22","11:39"
"2.14","bom","06-04-22","11:39"
"1.87","ruim","06-04-22","11:38"
"1.20","ruim","06-04-22","11:38"
"1.25","ruim","06-04-22","11:38"
"1.27","ruim","06-04-22","11:37"
"1.18","ruim","06-04-22","11:37"
"1.01","ruim","06-04-22","11:37"
"18.21","bom","06-04-22","11:37"
"6.17","bom","06-04-22","11:36"
"1.53","ruim","06-04-22","11:35"
"2.93","bom","06-04-22","11:35"
"1.91","ruim","06-04-22","11:34"
"14.02","bom","06-04-22","11:34"
"2.27","bom","06-04-22","11:33"
"1.61","ruim","06-04-22","11:33"
"0.00","ruim","06-04-22","11:32"
"1.74","ruim","06-04-22","11:32"
"4.45","bom","06-04-22","11:32"
"0.00","ruim","06-04-22","11:31"
"6.22","bom","06-04-22","11:31"
"1.03","ruim","06-04-22","11:30"
"1.81","ruim","06-04-22","11:30"
"1.10","ruim","06-04-22","11:30"
"3.90","bom","06-04-22","11:30"
"1.04","ruim","06-04-22","11:29"
"14.32","bom","06-04-22","11:29"
"2.16","bom","06-04-22","11:28"
"1.49","ruim","06-04-22","11:28"
"0.00","ruim","06-04-22","11:27"
"2.14","bom","06-04-22","11:27"
"1.94","ruim","06-04-22","11:27"
"1.79","ruim","06-04-22","11:27"
"1.34","ruim","06-04-22","11:26"
"1.74","ruim","06-04-22","11:26"
"2.05","bom","06-04-22","11:26"
"2.16","bom","06-04-22","11:25"
"1.23","ruim","06-04-22","11:25"
"1.09","ruim","06-04-22","11:25"
"1.70","ruim","06-04-22","11:25"
"6.93","bom","06-04-22","11:24"
"1.32","ruim","06-04-22","11:24"
"5.06","bom","06-04-22","11:23"
"1.09","ruim","06-04-22","11:23"
"2.01","bom","06-04-22","11:22"
"9.62","bom","06-04-22","11:22"
"5.71","bom","06-04-22","11:21"
"3.42","bom","06-04-22","11:21"
"1.68","ruim","06-04-22","11:20"
"1.28","ruim","06-04-22","11:20"
"0.00","ruim","06-04-22","11:20"
"1.33","ruim","06-04-22","11:19"
"1.04","ruim","06-04-22","11:19"
"1.61","ruim","06-04-22","11:19"
"3.86","bom","06-04-22","11:19"
"0.00","ruim","06-04-22","11:18"
"1.57","ruim","06-04-22","11:18"
"1.08","ruim","06-04-22","11:18"
"1.07","ruim","06-04-22","11:17"
"1.01","ruim","06-04-22","11:17"
"68.87","bom","06-04-22","11:17"
"1.46","ruim","06-04-22","11:16"
"2.31","bom","06-04-22","11:15"
"1.12","ruim","06-04-22","11:15"
"1.19","ruim","06-04-22","11:15"
"1.25","ruim","06-04-22","11:15"
"78.59","bom","06-04-22","11:14"
"2.57","bom","06-04-22","11:13"
"1.34","ruim","06-04-22","11:13"
"3.28","bom","06-04-22","11:12"
"1.30","ruim","06-04-22","11:12"
"2.27","bom","06-04-22","11:12"
"24.80","bom","06-04-22","11:11"
"1.95","ruim","06-04-22","11:10"
"1.04","ruim","06-04-22","11:10"
"1.13","ruim","06-04-22","11:10"
"1.39","ruim","06-04-22","11:09"
"2.53","bom","06-04-22","11:09"
"1.79","ruim","06-04-22","11:09"
"3.32","bom","06-04-22","11:08"
"3.69","bom","06-04-22","11:08"
"1.70","ruim","06-04-22","11:07"
"1.51","ruim","06-04-22","11:07"
"3.05","bom","06-04-22","11:07"
"1.00","ruim","06-04-22","11:06"
"1.90","ruim","06-04-22","11:06"
"1.13","ruim","06-04-22","11:06"
"1.25","ruim","06-04-22","11:06"
"1.00","ruim","06-04-22","11:05"
"1.72","ruim","06-04-22","11:05"
"1.78","ruim","06-04-22","11:05"
"1.79","ruim","06-04-22","11:04"
"6.09","bom","06-04-22","11:04"
"1.28","ruim","06-04-22","11:03"
"5.35","bom","06-04-22","11:03"
"8.10","bom","06-04-22","11:02"
"1.11","ruim","06-04-22","11:02"
"1.37","ruim","06-04-22","11:01"
"0.00","ruim","06-04-22","11:01"
"1.69","ruim","06-04-22","11:01"
"13.93","bom","06-04-22","11:01"
"4.69","bom","06-04-22","11:00"
"1.11","ruim","06-04-22","10:59"
"1.31","ruim","06-04-22","10:59"
"11.23","bom","06-04-22","10:59"
"2.92","bom","06-04-22","10:58"
"1.29","ruim","06-04-22","10:57"
"6.62","bom","06-04-22","10:57"
"1.15","ruim","06-04-22","10:56"
"2.50","bom","06-04-22","10:56"
"1.30","ruim","06-04-22","10:56"
"18.61","bom","06-04-22","10:56"
"10.35","bom","06-04-22","10:55"
"106.48","bom","06-04-22","10:54"
"3.05","bom","06-04-22","10:52"
"4.50","bom","06-04-22","10:52"
"1.09","ruim","06-04-22","10:51"
"2.51","bom","06-04-22","10:51"
"1.00","ruim","06-04-22","10:51"
"1.29","ruim","06-04-22","10:50"
"1.39","ruim","06-04-22","10:50"
"0.00","ruim","06-04-22","10:50"
"1.93","ruim","06-04-22","10:50"
"2.13","bom","06-04-22","10:49"
"3.83","bom","06-04-22","10:49"
"11.65","bom","06-04-22","10:48"
"1.37","ruim","06-04-22","10:48"
"1.95","ruim","06-04-22","10:47"
"0.00","ruim","06-04-22","10:47"
"1.47","ruim","06-04-22","10:47"
"2.51","bom","06-04-22","10:47"
"1.98","ruim","06-04-22","10:46"
"2.28","bom","06-04-22","10:46"
"3.67","bom","06-04-22","10:45"
"5.77","bom","06-04-22","10:45"
"1.14","ruim","06-04-22","10:44"
"3.12","bom","06-04-22","10:44"
"1.82","ruim","06-04-22","10:43"
"1.12","ruim","06-04-22","10:43"
"0.00","ruim","06-04-22","10:43"
"1.72","ruim","06-04-22","10:43"
"1.39","ruim","06-04-22","10:42"
"1.75","ruim","06-04-22","10:42"
"1.84","ruim","06-04-22","10:42"
"2.97","bom","06-04-22","10:42"
"17.09","bom","06-04-22","10:41"
"4.29","bom","06-04-22","10:40"
"0.00","ruim","06-04-22","10:40"
"5.45","bom","06-04-22","10:39"
"7.41","bom","06-04-22","10:39"
"3.62","bom","06-04-22","10:38"
"2.04","bom","06-04-22","10:37"
"0.00","ruim","06-04-22","10:37"
"6.99","bom","06-04-22","10:37"
"0.00","ruim","06-04-22","10:36"
"2.61","bom","06-04-22","10:36"
"1.11","ruim","06-04-22","10:36"
"25.42","bom","06-04-22","10:35"
"1.06","ruim","06-04-22","10:34"
"2.31","bom","06-04-22","10:34"
"3.73","bom","06-04-22","10:34"
"2.11","bom","06-04-22","10:33"
"1.23","ruim","06-04-22","10:33"
"13.62","bom","06-04-22","10:33"
"22.35","bom","06-04-22","10:32"
"3.98","bom","06-04-22","10:31"
"1.26","ruim","06-04-22","10:30"
"1.61","ruim","06-04-22","10:30"
"3.66","bom","06-04-22","10:30"
"4.11","bom","06-04-22","10:29"
"1.68","ruim","06-04-22","10:29"
"1.13","ruim","06-04-22","10:28"
"5.47","bom","06-04-22","10:28"
"1.13","ruim","06-04-22","10:27"
"1.14","ruim","06-04-22","10:27"
"1.48","ruim","06-04-22","10:27"
"6.76","bom","06-04-22","10:27"
"1.78","ruim","06-04-22","10:26"
"5.07","bom","06-04-22","10:26"
"3.72","bom","06-04-22","10:25"
"1.09","ruim","06-04-22","10:25"
"1.42","ruim","06-04-22","10:24"
"3.73","bom","06-04-22","10:24"
"4.77","bom","06-04-22","10:24"
"1.70","ruim","06-04-22","10:23"
"1.14","ruim","06-04-22","10:23"
"5.87","bom","06-04-22","10:22"
"4.18","bom","06-04-22","10:22"
"7.67","bom","06-04-22","10:21"
"1.09","ruim","06-04-22","10:20"
"1.09","ruim","06-04-22","10:20"
"1.73","ruim","06-04-22","10:20"
"1.10","ruim","06-04-22","10:20"
"1.14","ruim","06-04-22","10:20"
"5.58","bom","06-04-22","10:19"
"1.03","ruim","06-04-22","10:19"
"1.06","ruim","06-04-22","10:19"
"6.90","bom","06-04-22","10:18"
"2.24","bom","06-04-22","10:18"
"1.93","ruim","06-04-22","10:17"
"10.69","bom","06-04-22","10:17"
"1.33","ruim","06-04-22","10:16"
"1.33","ruim","06-04-22","10:16"
"2.39","bom","06-04-22","10:16"
"1.05","ruim","06-04-22","10:15"
"23.15","bom","06-04-22","10:15"
"1.19","ruim","06-04-22","10:14"
"6.14","bom","06-04-22","10:14"
"1.09","ruim","06-04-22","10:13"
"3.48","bom","06-04-22","10:13"
"3.58","bom","06-04-22","10:12"
"0.00","ruim","06-04-22","10:12"
"1.68","ruim","06-04-22","10:12"
"1.15","ruim","06-04-22","10:11"
"3.66","bom","06-04-22","10:11"
"0.00","ruim","06-04-22","10:11"
"1.64","ruim","06-04-22","10:10"
"1.04","ruim","06-04-22","10:10"
"5.26","bom","06-04-22","10:10"
"1.14","ruim","06-04-22","10:09"
"4.23","bom","06-04-22","10:09"
"1.73","ruim","06-04-22","10:09"
"1.69","ruim","06-04-22","10:08"
"5.66","bom","06-04-22","10:08"
"2.27","bom","06-04-22","10:07"
"7.60","bom","06-04-22","10:07"
"1.57","ruim","06-04-22","10:06"
"10.12","bom","06-04-22","10:06"
"5.15","bom","06-04-22","10:05"
"8.95","bom","06-04-22","10:04"
"1.18","ruim","06-04-22","10:04"
"1.42","ruim","06-04-22","10:03"
"2.48","bom","06-04-22","10:03"
"1.43","ruim","06-04-22","10:03"
"1.55","ruim","06-04-22","10:02"
"1.44","ruim","06-04-22","10:02"
"0.00","ruim","06-04-22","10:02"
"1.93","ruim","06-04-22","10:02"
"64.04","bom","06-04-22","10:01"
"1.09","ruim","06-04-22","10:00"
"1.95","ruim","06-04-22","10:00"
"5.48","bom","06-04-22","10:00"
"0.00","ruim","05-04-22","12:57"
"56.88","bom","05-04-22","12:56"
"1.69","ruim","05-04-22","12:55"
"1.17","ruim","05-04-22","12:55"
"2.09","bom","05-04-22","12:55"
"4.67","bom","05-04-22","12:54"
"70.70","bom","05-04-22","12:54"
"1.20","ruim","05-04-22","12:52"
"4.59","bom","05-04-22","12:52"
"1.51","ruim","05-04-22","12:51"
"1.59","ruim","05-04-22","12:51"
"1.23","ruim","05-04-22","12:51"
"2.36","bom","05-04-22","12:51"
"31.04","bom","05-04-22","12:50"
"1.89","ruim","05-04-22","12:49"
"1.31","ruim","05-04-22","12:49"
"6.48","bom","05-04-22","12:48"
"1.62","ruim","05-04-22","12:48"
"1.38","ruim","05-04-22","12:47"
"2.10","bom","05-04-22","12:47"
"2.82","bom","05-04-22","12:47"
"0.00","ruim","05-04-22","12:46"
"1.23","ruim","05-04-22","12:46"
"3.78","bom","05-04-22","12:46"
"123.88","bom","05-04-22","12:45"
"2.92","bom","05-04-22","12:44"
"1.02","ruim","05-04-22","12:43"
"0.00","ruim","05-04-22","12:43"
"1.78","ruim","05-04-22","12:43"
"1.29","ruim","05-04-22","12:43"
"10.60","bom","05-04-22","12:43"
"1.31","ruim","05-04-22","12:42"
"1.20","ruim","05-04-22","12:41"
"1.00","ruim","05-04-22","12:41"
"1.31","ruim","05-04-22","12:41"
"3.20","bom","05-04-22","12:41"
"1.07","ruim","05-04-22","12:40"
"1.05","ruim","05-04-22","12:40"
"1.07","ruim","05-04-22","12:40"
"1.62","ruim","05-04-22","12:40"
"2.89","bom","05-04-22","12:39"
"4.22","bom","05-04-22","12:39"
"11.50","bom","05-04-22","12:38"
"2.29","bom","05-04-22","12:37"
"1.27","ruim","05-04-22","12:37"
"2.39","bom","05-04-22","12:37"
"3.25","bom","05-04-22","12:36"
"3.23","bom","05-04-22","12:36"
"1.12","ruim","05-04-22","12:35"
"3.21","bom","05-04-22","12:35"
"1.10","ruim","05-04-22","12:35"
"3.29","bom","05-04-22","12:34"
"1.55","ruim","05-04-22","12:34"
"7.63","bom","05-04-22","12:34"
"1.83","ruim","05-04-22","12:33"
"1.33","ruim","05-04-22","12:32"
